Time,enc_1,enc_2,Robx,Roby,PlayerX,PlayerY,CirclePosX,CirclePosY,circleRadius,TargetPos1,TargetPos2,targetRadii,CurrentStat
2024-07-05 15:12:38.044,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.072,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.086,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.094,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.103,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.111,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.119,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.129,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.137,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.145,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.153,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.161,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.170,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.178,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.186,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.194,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.203,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.211,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.220,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.228,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.237,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.244,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.253,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.262,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.270,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.278,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.286,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.294,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.302,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.311,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.320,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.328,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.337,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.345,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.354,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.362,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.370,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.378,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.387,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.395,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.403,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.411,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.420,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.428,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.435,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.444,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.454,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.462,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.469,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.478,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.487,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:38.495,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
